text,label
"""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",0.8461646140000001
.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,0.89127054
"\ero-tolerance policy in schools should not be adopted as circumstances are often not black and white, being more nuanced. no one should be written off due to a mistake of judgement.",0.721191932
`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person is able to say good bye.,0.730395151
"100% agree, should they do that, it would be a good thing",0.23668568199999998
6 million people died so to deny the holocaust should be a crime against their memory,0.738336771
"a bad score in an intelligence test is a blow to our children's drive and self esteem, reducing motivation and causing harm.",1.0
"a bad score in an intelligence test is a blow to people sense of worth, hurting not only their feeling's but also this society's development.",0.638715764
A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,0.753805285
"A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",1.0
